Kyle Lowry,Cleveland Cavaliers,2851,77,77,1634
DeMar DeRozan,Cleveland Cavaliers,2804,78,78,1830
Cory Joseph,Cleveland Cavaliers,2046,80,4,677
Patrick Patterson,Cleveland Cavaliers,2020,79,0,543
Bismack Biyombo,Cleveland Cavaliers,1808,82,22,454
Terrence Ross,Cleveland Cavaliers,1747,73,7,720
Luis Scola,Cleveland Cavaliers,1636,76,76,664
Jonas Valanciunas,Cleveland Cavaliers,1557,60,59,768
James Johnson,Cleveland Cavaliers,926,57,32,287
DeMarre Carroll,Cleveland Cavaliers,786,26,22,286
Norman Powell,Cleveland Cavaliers,725,49,24,273
Jason Thompson,Cleveland Cavaliers,292,19,6,87
Delon Wright,Cleveland Cavaliers,229,27,1,103
Lucas Nogueira,Cleveland Cavaliers,225,29,1,65
Anthony Bennett,Cleveland Cavaliers,84,19,0,28
Bruno Caboclo,Cleveland Cavaliers,43,6,1,3
